구분,이탈리아어,한국어 뜻,성별,예문,예문 번역
단어장,respingimento alla frontiera,국경거부,f,La respingimento alla frontiera italiana è molto famosa.,이탈리아의 respingimento alla frontiera(은)는 매우 유명합니다.
단어장,migrante ambientale,환경적,-,È necessario migrante ambientale questo compito.,이 작업을 환경적는 것이 필요합니다.
단어장,a me,말하기,-,È necessario a me questo compito.,이 작업을 말하기는 것이 필요합니다.
단어장,chi,말하기,-,È necessario chi questo compito.,이 작업을 말하기는 것이 필요합니다.
단어장,sono tornati,말하기,-,È necessario sono tornati questo compito.,이 작업을 말하기는 것이 필요합니다.
단어장,Potresti,말하기,-,È necessario Potresti questo compito.,이 작업을 말하기는 것이 필요합니다.
단어장,sia,말하기,f,La sia italiana è molto famosa.,이탈리아의 sia(은)는 매우 유명합니다.
단어장,uno,말하기,m,Il uno è fondamentale per il successo.,uno(은)는 성공을 위해 필수적입니다.
단어장,consumando,말하기,m,Il consumando è fondamentale per il successo.,consumando(은)는 성공을 위해 필수적입니다.
단어장,avessimo capito,말하기,m,Il avessimo capito è fondamentale per il successo.,avessimo capito(은)는 성공을 위해 필수적입니다.
단어장,avessi partecipato,말하기,m,Il avessi partecipato è fondamentale per il successo.,avessi partecipato(은)는 성공을 위해 필수적입니다.
단어장,gli,말하기,-,È necessario gli questo compito.,이 작업을 말하기는 것이 필요합니다.
단어장,eletto,말하기,m,Il eletto è fondamentale per il successo.,eletto(은)는 성공을 위해 필수적입니다.
단어장,a piedi,걸어서,-,È necessario a piedi questo compito.,이 작업을 걸어서는 것이 필요합니다.
단어장,a proposito,관련하여,m,Il a proposito è fondamentale per il successo.,a proposito(은)는 성공을 위해 필수적입니다.
단어장,accender,켜다,-,È necessario accender questo compito.,이 작업을 켜다는 것이 필요합니다.
단어장,albergo,여관,m,Il albergo è fondamentale per il successo.,albergo(은)는 성공을 위해 필수적입니다.
단어장,all’estero,외국에,m,Il all’estero è fondamentale per il successo.,all’estero(은)는 성공을 위해 필수적입니다.
단어장,allegorico,풍자적인,m,Il allegorico è fondamentale per il successo.,allegorico(은)는 성공을 위해 필수적입니다.
단어장,allestire,전시하다,-,È necessario allestire questo compito.,이 작업을 전시하다는 것이 필요합니다.
단어장,aria condizionata,에어컨,f,La aria condizionata italiana è molto famosa.,이탈리아의 aria condizionata(은)는 매우 유명합니다.
단어장,aria,공기,f,La aria italiana è molto famosa.,이탈리아의 aria(은)는 매우 유명합니다.
단어장,arricchire,풍부하게,-,È necessario arricchire questo compito.,이 작업을 풍부하게는 것이 필요합니다.
단어장,assaggiare,맛보다,-,È necessario assaggiare questo compito.,이 작업을 맛보다는 것이 필요합니다.
단어장,assistere,지원하다,-,È necessario assistere questo compito.,이 작업을 지원하다는 것이 필요합니다.
단어장,autista,운전기사,f,La autista italiana è molto famosa.,이탈리아의 autista(은)는 매우 유명합니다.
단어장,autostrada,고속도로,f,La autostrada italiana è molto famosa.,이탈리아의 autostrada(은)는 매우 유명합니다.
단어장,avanzato,첨단의,m,Il avanzato è fondamentale per il successo.,avanzato(은)는 성공을 위해 필수적입니다.
단어장,aver ragione,옳다,f,La aver ragione italiana è molto famosa.,이탈리아의 aver ragione(은)는 매우 유명합니다.
단어장,ballo,무도회,m,Il ballo è fondamentale per il successo.,ballo(은)는 성공을 위해 필수적입니다.
단어장,battere,치다,-,È necessario battere questo compito.,이 작업을 치다는 것이 필요합니다.
단어장,bloccato,봉쇄된,m,Il bloccato è fondamentale per il successo.,bloccato(은)는 성공을 위해 필수적입니다.
단어장,bolletta,고지서,f,La bolletta italiana è molto famosa.,이탈리아의 bolletta(은)는 매우 유명합니다.
단어장,burro,버터,m,Il burro è fondamentale per il successo.,burro(은)는 성공을 위해 필수적입니다.
단어장,caldo,더운,m,Il caldo è fondamentale per il successo.,caldo(은)는 성공을 위해 필수적입니다.
단어장,cambiamento,변화,m,Il cambiamento è fondamentale per il successo.,cambiamento(은)는 성공을 위해 필수적입니다.
단어장,campagna,전원,f,La campagna italiana è molto famosa.,이탈리아의 campagna(은)는 매우 유명합니다.
단어장,campeggio,캠핑,m,Il campeggio è fondamentale per il successo.,campeggio(은)는 성공을 위해 필수적입니다.
단어장,campo,마당,m,Il campo è fondamentale per il successo.,campo(은)는 성공을 위해 필수적입니다.
단어장,carnevale,카니발,-,È necessario carnevale questo compito.,이 작업을 카니발는 것이 필요합니다.
단어장,carne,육류,-,È necessario carne questo compito.,이 작업을 육류는 것이 필요합니다.
단어장,carro allegorico,퍼레이드,m,Il carro allegorico è fondamentale per il successo.,carro allegorico(은)는 성공을 위해 필수적입니다.
단어장,carro,마차,m,Il carro è fondamentale per il successo.,carro(은)는 성공을 위해 필수적입니다.
단어장,casualmente,우연히,-,È necessario casualmente questo compito.,이 작업을 우연히는 것이 필요합니다.
단어장,causa,원인,f,La causa italiana è molto famosa.,이탈리아의 causa(은)는 매우 유명합니다.
단어장,celebrare,행사를,-,È necessario celebrare questo compito.,이 작업을 행사를는 것이 필요합니다.
단어장,celebrazioni,행사,-,È necessario celebrazioni questo compito.,이 작업을 행사는 것이 필요합니다.
단어장,centro commerciale,쇼핑몰,-,È necessario centro commerciale questo compito.,이 작업을 쇼핑몰는 것이 필요합니다.
단어장,ceramica,세라믹,f,La ceramica italiana è molto famosa.,이탈리아의 ceramica(은)는 매우 유명합니다.
단어장,chiacchierare,잡담하다,-,È necessario chiacchierare questo compito.,이 작업을 잡담하다는 것이 필요합니다.
단어장,chiedere,묻다,-,È necessario chiedere questo compito.,이 작업을 묻다는 것이 필요합니다.
단어장,chiesa,교회,f,La chiesa italiana è molto famosa.,이탈리아의 chiesa(은)는 매우 유명합니다.
단어장,ciclico,순환의,m,Il ciclico è fondamentale per il successo.,ciclico(은)는 성공을 위해 필수적입니다.
단어장,climatico,기후의,m,Il climatico è fondamentale per il successo.,climatico(은)는 성공을 위해 필수적입니다.
단어장,commesso,점원,m,Il commesso è fondamentale per il successo.,commesso(은)는 성공을 위해 필수적입니다.
단어장,compiti,숙제,-,È necessario compiti questo compito.,이 작업을 숙제는 것이 필요합니다.
단어장,conferma,컨펌,f,La conferma italiana è molto famosa.,이탈리아의 conferma(은)는 매우 유명합니다.
단어장,consumare,닳다,-,È necessario consumare questo compito.,이 작업을 닳다는 것이 필요합니다.
단어장,contento,만족한,m,Il contento è fondamentale per il successo.,contento(은)는 성공을 위해 필수적입니다.
단어장,contingente,우연적인,-,È necessario contingente questo compito.,이 작업을 우연적인는 것이 필요합니다.
단어장,convinto,납득한,m,Il convinto è fondamentale per il successo.,convinto(은)는 성공을 위해 필수적입니다.
단어장,correre,달리다,-,È necessario correre questo compito.,이 작업을 달리다는 것이 필요합니다.
단어장,costare meno,비용이,m,Il costare meno è fondamentale per il successo.,costare meno(은)는 성공을 위해 필수적입니다.
단어장,costare,값이,-,È necessario costare questo compito.,이 작업을 값이는 것이 필요합니다.
단어장,costi contenuti,싼,-,È necessario costi contenuti questo compito.,이 작업을 싼는 것이 필요합니다.
단어장,costretto,할,m,Il costretto è fondamentale per il successo.,costretto(은)는 성공을 위해 필수적입니다.
단어장,costruire,만들다,-,È necessario costruire questo compito.,이 작업을 만들다는 것이 필요합니다.
단어장,costume storici,전통의상,-,È necessario costume storici questo compito.,이 작업을 전통의상는 것이 필요합니다.
단어장,crisi finanziario,재정위기,m,Il crisi finanziario è fondamentale per il successo.,crisi finanziario(은)는 성공을 위해 필수적입니다.
단어장,curioso,궁금한,m,Il curioso è fondamentale per il successo.,curioso(은)는 성공을 위해 필수적입니다.
단어장,dilemma,딜레마,f,La dilemma italiana è molto famosa.,이탈리아의 dilemma(은)는 매우 유명합니다.
단어장,disdire,취소하다,-,È necessario disdire questo compito.,이 작업을 취소하다는 것이 필요합니다.
단어장,disponibile,구입할,-,È necessario disponibile questo compito.,이 작업을 구입할는 것이 필요합니다.
단어장,divertirsi,재밌게,-,È necessario divertirsi questo compito.,이 작업을 재밌게는 것이 필요합니다.
단어장,doccia,샤워,f,La doccia italiana è molto famosa.,이탈리아의 doccia(은)는 매우 유명합니다.
단어장,dovunque,어디든,-,È necessario dovunque questo compito.,이 작업을 어디든는 것이 필요합니다.
단어장,durare,지속하다,-,È necessario durare questo compito.,이 작업을 지속하다는 것이 필요합니다.
단어장,economico,경제적인,m,Il economico è fondamentale per il successo.,economico(은)는 성공을 위해 필수적입니다.
단어장,elaborato,공들여,m,Il elaborato è fondamentale per il successo.,elaborato(은)는 성공을 위해 필수적입니다.
단어장,entusiasti,열렬지지자,-,È necessario entusiasti questo compito.,이 작업을 열렬지지자는 것이 필요합니다.
단어장,esperienza,경험,f,La esperienza italiana è molto famosa.,이탈리아의 esperienza(은)는 매우 유명합니다.
단어장,essere in aumento,증가추세이다,m,Il essere in aumento è fondamentale per il successo.,essere in aumento(은)는 성공을 위해 필수적입니다.
단어장,estremo,극단의,m,Il estremo è fondamentale per il successo.,estremo(은)는 성공을 위해 필수적입니다.
단어장,evidente,명백한,-,È necessario evidente questo compito.,이 작업을 명백한는 것이 필요합니다.
단어장,fermarsi,멈춰서다,-,È necessario fermarsi questo compito.,이 작업을 멈춰서다는 것이 필요합니다.
단어장,finire,끝내다,-,È necessario finire questo compito.,이 작업을 끝내다는 것이 필요합니다.
단어장,fortuna,행운,f,La fortuna italiana è molto famosa.,이탈리아의 fortuna(은)는 매우 유명합니다.
단어장,generare,생성시키다,-,È necessario generare questo compito.,이 작업을 생성시키다는 것이 필요합니다.
단어장,giudicare,판단하다,-,È necessario giudicare questo compito.,이 작업을 판단하다는 것이 필요합니다.
단어장,guaio,트러블,m,Il guaio è fondamentale per il successo.,guaio(은)는 성공을 위해 필수적입니다.
단어장,guasto,고장,m,Il guasto è fondamentale per il successo.,guasto(은)는 성공을 위해 필수적입니다.
단어장,guida turistica,관광가이드,f,La guida turistica italiana è molto famosa.,이탈리아의 guida turistica(은)는 매우 유명합니다.
단어장,guidare,운전하다,-,È necessario guidare questo compito.,이 작업을 운전하다는 것이 필요합니다.
단어장,gustare,맛보다,-,È necessario gustare questo compito.,이 작업을 맛보다는 것이 필요합니다.
단어장,gusto,맛,m,Il gusto è fondamentale per il successo.,gusto(은)는 성공을 위해 필수적입니다.
단어장,ideale,이상,-,È necessario ideale questo compito.,이 작업을 이상는 것이 필요합니다.
단어장,in anticipo,미리,m,Il in anticipo è fondamentale per il successo.,in anticipo(은)는 성공을 위해 필수적입니다.
단어장,in comitiva,단체로,f,La in comitiva italiana è molto famosa.,이탈리아의 in comitiva(은)는 매우 유명합니다.
단어장,indossarsi,옷을,-,È necessario indossarsi questo compito.,이 작업을 옷을는 것이 필요합니다.
단어장,infernale,지옥의,-,È necessario infernale questo compito.,이 작업을 지옥의는 것이 필요합니다.
단어장,inseguire,좇아다니다,-,È necessario inseguire questo compito.,이 작업을 좇아다니다는 것이 필요합니다.
단어장,integrante,통합적인,-,È necessario integrante questo compito.,이 작업을 통합적인는 것이 필요합니다.
단어장,interruzione,정체구간,f,La interruzione italiana è molto famosa.,이탈리아의 interruzione(은)는 매우 유명합니다.
단어장,lavori in corso,작업중,m,Il lavori in corso è fondamentale per il successo.,lavori in corso(은)는 성공을 위해 필수적입니다.
단어장,liberarsi,해방되다,-,È necessario liberarsi questo compito.,이 작업을 해방되다는 것이 필요합니다.
단어장,maschera,가면,f,La maschera italiana è molto famosa.,이탈리아의 maschera(은)는 매우 유명합니다.
단어장,meccanico,기계기술자,m,Il meccanico è fondamentale per il successo.,meccanico(은)는 성공을 위해 필수적입니다.
단어장,meta,목적지,f,La meta italiana è molto famosa.,이탈리아의 meta(은)는 매우 유명합니다.
단어장,meteo,일기예보,m,Il meteo è fondamentale per il successo.,meteo(은)는 성공을 위해 필수적입니다.
단어장,modello,모델,m,Il modello è fondamentale per il successo.,modello(은)는 성공을 위해 필수적입니다.
단어장,molteplice,다양한,-,È necessario molteplice questo compito.,이 작업을 다양한는 것이 필요합니다.
단어장,muoversi,움직이다,-,È necessario muoversi questo compito.,이 작업을 움직이다는 것이 필요합니다.
단어장,Natale,크리스마스,-,È necessario Natale questo compito.,이 작업을 크리스마스는 것이 필요합니다.
단어장,natalizio,크리스마스의,m,Il natalizio è fondamentale per il successo.,natalizio(은)는 성공을 위해 필수적입니다.
단어장,negozio d’abbigliamento,옷가게,m,Il negozio d’abbigliamento è fondamentale per il successo.,negozio d’abbigliamento(은)는 성공을 위해 필수적입니다.
단어장,neologismo,신조어,m,Il neologismo è fondamentale per il successo.,neologismo(은)는 성공을 위해 필수적입니다.
단어장,noleggiare,렌트하다,-,È necessario noleggiare questo compito.,이 작업을 렌트하다는 것이 필요합니다.
단어장,occupato,바쁜,m,Il occupato è fondamentale per il successo.,occupato(은)는 성공을 위해 필수적입니다.
단어장,officina,자동차정비소,f,La officina italiana è molto famosa.,이탈리아의 officina(은)는 매우 유명합니다.
단어장,olio d’oliva,올리브유,f,La olio d’oliva italiana è molto famosa.,이탈리아의 olio d’oliva(은)는 매우 유명합니다.
단어장,ordine,명령,-,È necessario ordine questo compito.,이 작업을 명령는 것이 필요합니다.
단어장,paese natale,출생지,-,È necessario paese natale questo compito.,이 작업을 출생지는 것이 필요합니다.
단어장,palati,입맛,-,È necessario palati questo compito.,이 작업을 입맛는 것이 필요합니다.
단어장,parata,퍼레이드,f,La parata italiana è molto famosa.,이탈리아의 parata(은)는 매우 유명합니다.
단어장,partire,떠나다,-,È necessario partire questo compito.,이 작업을 떠나다는 것이 필요합니다.
단어장,perdere la pazienza,인내심을,f,La perdere la pazienza italiana è molto famosa.,이탈리아의 perdere la pazienza(은)는 매우 유명합니다.
단어장,perdere,잃다,-,È necessario perdere questo compito.,이 작업을 잃다는 것이 필요합니다.
단어장,pesare,부담되다,-,È necessario pesare questo compito.,이 작업을 부담되다는 것이 필요합니다.
단어장,ponti,징검다리,-,È necessario ponti questo compito.,이 작업을 징검다리는 것이 필요합니다.
단어장,portare,가져다주다,-,È necessario portare questo compito.,이 작업을 가져다주다는 것이 필요합니다.
단어장,precisione,정확함,f,La precisione italiana è molto famosa.,이탈리아의 precisione(은)는 매우 유명합니다.
단어장,prelibatezza,맛있는,f,La prelibatezza italiana è molto famosa.,이탈리아의 prelibatezza(은)는 매우 유명합니다.
단어장,prenotare,예약하다,-,È necessario prenotare questo compito.,이 작업을 예약하다는 것이 필요합니다.
단어장,prenotazione,예약,f,La prenotazione italiana è molto famosa.,이탈리아의 prenotazione(은)는 매우 유명합니다.
단어장,preparare la tavola,식사준비를,f,La preparare la tavola italiana è molto famosa.,이탈리아의 preparare la tavola(은)는 매우 유명합니다.
단어장,Preseidente,대통령,-,È necessario Preseidente questo compito.,이 작업을 대통령는 것이 필요합니다.
단어장,presepe,모형,-,È necessario presepe questo compito.,이 작업을 모형는 것이 필요합니다.
단어장,proseguire,진행하다,-,È necessario proseguire questo compito.,이 작업을 진행하다는 것이 필요합니다.
단어장,rappresentazione,연극,f,La rappresentazione italiana è molto famosa.,이탈리아의 rappresentazione(은)는 매우 유명합니다.
단어장,regione,지역,f,La regione italiana è molto famosa.,이탈리아의 regione(은)는 매우 유명합니다.
단어장,registrare,기록하다,-,È necessario registrare questo compito.,이 작업을 기록하다는 것이 필요합니다.
단어장,ricordarsi,기억하다,-,È necessario ricordarsi questo compito.,이 작업을 기억하다는 것이 필요합니다.
단어장,ricorrere,되돌아오다,-,È necessario ricorrere questo compito.,이 작업을 되돌아오다는 것이 필요합니다.
단어장,riflesso,반사된,m,Il riflesso è fondamentale per il successo.,riflesso(은)는 성공을 위해 필수적입니다.
단어장,rilassarsi,긴장을,-,È necessario rilassarsi questo compito.,이 작업을 긴장을는 것이 필요합니다.
단어장,rimanere,머무르다,-,È necessario rimanere questo compito.,이 작업을 머무르다는 것이 필요합니다.
단어장,rimborso,배상,m,Il rimborso è fondamentale per il successo.,rimborso(은)는 성공을 위해 필수적입니다.
단어장,riparare,보수하다,-,È necessario riparare questo compito.,이 작업을 보수하다는 것이 필요합니다.
단어장,riparo,보호,m,Il riparo è fondamentale per il successo.,riparo(은)는 성공을 위해 필수적입니다.
단어장,ripartire,다시,-,È necessario ripartire questo compito.,이 작업을 다시는 것이 필요합니다.
단어장,risalire,거슬러,-,È necessario risalire questo compito.,이 작업을 거슬러는 것이 필요합니다.
단어장,riscaldamento,더워짐,m,Il riscaldamento è fondamentale per il successo.,riscaldamento(은)는 성공을 위해 필수적입니다.
단어장,riservato,보존된,m,Il riservato è fondamentale per il successo.,riservato(은)는 성공을 위해 필수적입니다.
단어장,risotto,리조토,m,Il risotto è fondamentale per il successo.,risotto(은)는 성공을 위해 필수적입니다.
단어장,ritorno,귀환,m,Il ritorno è fondamentale per il successo.,ritorno(은)는 성공을 위해 필수적입니다.
단어장,riuscire,해내다,-,È necessario riuscire questo compito.,이 작업을 해내다는 것이 필요합니다.
단어장,rovinare,망치다,-,È necessario rovinare questo compito.,이 작업을 망치다는 것이 필요합니다.
단어장,scendere,내려가다,-,È necessario scendere questo compito.,이 작업을 내려가다는 것이 필요합니다.
단어장,scomparire,사라지다,-,È necessario scomparire questo compito.,이 작업을 사라지다는 것이 필요합니다.
단어장,scusa,사과,f,La scusa italiana è molto famosa.,이탈리아의 scusa(은)는 매우 유명합니다.
단어장,selezione,선택,f,La selezione italiana è molto famosa.,이탈리아의 selezione(은)는 매우 유명합니다.
단어장,sfilare,행진하다,-,È necessario sfilare questo compito.,이 작업을 행진하다는 것이 필요합니다.
단어장,sfortuna,불운,f,La sfortuna italiana è molto famosa.,이탈리아의 sfortuna(은)는 매우 유명합니다.
단어장,smettere,그만두다,-,È necessario smettere questo compito.,이 작업을 그만두다는 것이 필요합니다.
단어장,sorprese e imprevisti,긴급,-,È necessario sorprese e imprevisti questo compito.,이 작업을 긴급는 것이 필요합니다.
단어장,sostenere,주장하다,-,È necessario sostenere questo compito.,이 작업을 주장하다는 것이 필요합니다.
단어장,sottolineare,강조하다,-,È necessario sottolineare questo compito.,이 작업을 강조하다는 것이 필요합니다.
단어장,specifico,특정한,m,Il specifico è fondamentale per il successo.,specifico(은)는 성공을 위해 필수적입니다.
단어장,spostare,이동하다,-,È necessario spostare questo compito.,이 작업을 이동하다는 것이 필요합니다.
단어장,spuntare,솟아나다,-,È necessario spuntare questo compito.,이 작업을 솟아나다는 것이 필요합니다.
단어장,strada statale,국도,-,È necessario strada statale questo compito.,이 작업을 국도는 것이 필요합니다.
단어장,strutturale,구조적인,-,È necessario strutturale questo compito.,이 작업을 구조적인는 것이 필요합니다.
단어장,struttura,시설,f,La struttura italiana è molto famosa.,이탈리아의 struttura(은)는 매우 유명합니다.
단어장,su larga scala,대규모의,f,La su larga scala italiana è molto famosa.,이탈리아의 su larga scala(은)는 매우 유명합니다.
단어장,suggerimento,제안,m,Il suggerimento è fondamentale per il successo.,suggerimento(은)는 성공을 위해 필수적입니다.
단어장,superare,뛰어넘다,-,È necessario superare questo compito.,이 작업을 뛰어넘다는 것이 필요합니다.
단어장,susseguirsi,뒤따라,-,È necessario susseguirsi questo compito.,이 작업을 뒤따라는 것이 필요합니다.
단어장,togliere,없애다,-,È necessario togliere questo compito.,이 작업을 없애다는 것이 필요합니다.
단어장,tradizione,전통,f,La tradizione italiana è molto famosa.,이탈리아의 tradizione(은)는 매우 유명합니다.
단어장,traffico,교통체증,m,Il traffico è fondamentale per il successo.,traffico(은)는 성공을 위해 필수적입니다.
단어장,trasformare,변형시키다,-,È necessario trasformare questo compito.,이 작업을 변형시키다는 것이 필요합니다.
단어장,trasmettere,방송하다,-,È necessario trasmettere questo compito.,이 작업을 방송하다는 것이 필요합니다.
단어장,unico,유일한,m,Il unico è fondamentale per il successo.,unico(은)는 성공을 위해 필수적입니다.
단어장,variare,다양화,-,È necessario variare questo compito.,이 작업을 다양화는 것이 필요합니다.
단어장,verdura,야채,f,La verdura italiana è molto famosa.,이탈리아의 verdura(은)는 매우 유명합니다.
단어장,vetrine,진열장,-,È necessario vetrine questo compito.,이 작업을 진열장는 것이 필요합니다.
단어장,viaggiare,여행하다,-,È necessario viaggiare questo compito.,이 작업을 여행하다는 것이 필요합니다.
단어장,volto,얼굴,m,Il volto è fondamentale per il successo.,volto(은)는 성공을 위해 필수적입니다.
